Date : 2022-11-09 11:53:44
Directory : d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine
Total : 64 files,  2214 codes, 719 comments, 600 blanks, all 3533 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |         57 |      2,087 |        575 |        552 |      3,214 |
| GLSL     |          3 |        117 |        144 |         50 |        311 |
| XML      |          2 |          7 |          0 |          0 |          7 |
| Ini      |          1 |          5 |          0 |          2 |          7 |
| Markdown |          1 |         -2 |          0 |         -4 |         -6 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                     |         64 |      2,214 |        719 |        600 |      3,533 |
| BlackPearl                                                                                                                            |         55 |      1,946 |        541 |        498 |      2,985 |
| BlackPearl\src                                                                                                                        |         54 |      1,940 |        541 |        498 |      2,979 |
| BlackPearl\src\BlackPearl                                                                                                             |         53 |      1,937 |        541 |        498 |      2,976 |
| BlackPearl\src\BlackPearl\Component                                                                                                   |          7 |         71 |         63 |         30 |        164 |
| BlackPearl\src\BlackPearl\Component\BasicInfoComponent                                                                                |          1 |          2 |          0 |          0 |          2 |
| BlackPearl\src\BlackPearl\Component\CameraComponent                                                                                   |          1 |          1 |          0 |          0 |          1 |
| BlackPearl\src\BlackPearl\Component\MeshFilterComponent                                                                               |          1 |         -9 |         54 |         12 |         57 |
| BlackPearl\src\BlackPearl\Component\MeshRendererComponent                                                                             |          1 |         -2 |          6 |          1 |          5 |
| BlackPearl\src\BlackPearl\Component\TerrainComponent                                                                                  |          2 |         78 |          3 |         17 |         98 |
| BlackPearl\src\BlackPearl\LayerScene                                                                                                  |          2 |         85 |         -9 |        -19 |         57 |
| BlackPearl\src\BlackPearl\MainCamera                                                                                                  |          2 |          8 |          0 |          1 |          9 |
| BlackPearl\src\BlackPearl\Node                                                                                                        |          4 |         72 |          7 |         14 |         93 |
| BlackPearl\src\BlackPearl\ObjectCreater                                                                                               |          2 |         29 |          0 |         12 |         41 |
| BlackPearl\src\BlackPearl\ObjectManager                                                                                               |          2 |        223 |          4 |         27 |        254 |
| BlackPearl\src\BlackPearl\RHI                                                                                                         |          2 |          0 |          0 |          0 |          0 |
| BlackPearl\src\BlackPearl\RHI\D3D12RHI                                                                                                |          2 |          0 |          0 |          0 |          0 |
| BlackPearl\src\BlackPearl\Renderer                                                                                                    |         24 |      1,442 |        470 |        434 |      2,346 |
| BlackPearl\src\BlackPearl\Renderer\Batch                                                                                              |          2 |         84 |         13 |         21 |        118 |
| BlackPearl\src\BlackPearl\Renderer\Buffer                                                                                             |          2 |         46 |          4 |         14 |         64 |
| BlackPearl\src\BlackPearl\Renderer\MasterRenderer                                                                                     |          8 |      1,170 |        415 |        364 |      1,949 |
| BlackPearl\src\BlackPearl\Renderer\Material                                                                                           |          1 |          0 |          0 |         -2 |         -2 |
| BlackPearl\src\BlackPearl\Renderer\Mesh                                                                                               |          3 |         65 |          9 |         10 |         84 |
| BlackPearl\src\BlackPearl\Renderer\Model                                                                                              |          2 |          2 |          7 |         -2 |          7 |
| BlackPearl\src\BlackPearl\Renderer\Shader                                                                                             |          2 |         45 |         10 |         14 |         69 |
| BlackPearl\src\BlackPearl\Scene                                                                                                       |          2 |         10 |          0 |         -1 |          9 |
| BlackPearl\src\BlackPearl\Terrain                                                                                                     |          2 |        -10 |          0 |         -4 |        -14 |
| SandBox                                                                                                                               |          8 |        270 |        178 |        106 |        554 |
| SandBox\assets                                                                                                                        |          3 |        117 |        144 |         50 |        311 |
| SandBox\assets\shaders                                                                                                                |          3 |        117 |        144 |         50 |        311 |
| SandBox\assets\shaders\IndirectDraw                                                                                                   |          1 |         19 |         92 |         12 |        123 |
| SandBox\assets\shaders\batch                                                                                                          |          1 |         -6 |          4 |          3 |          1 |
| SandBox\assets\shaders\terrain                                                                                                        |          1 |        104 |         48 |         35 |        187 |
| SandBox\src                                                                                                                           |          3 |        147 |         34 |         54 |        235 |
| SandBox\src\Layers                                                                                                                    |          2 |        143 |         34 |         54 |        231 |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                              | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\BlackPearl.vcxproj                                              | XML      |          6 |          0 |          0 |          6 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl.h                                                | C++      |          3 |          0 |          0 |          3 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Application.cpp                                  | C++      |          3 |          0 |         -1 |          2 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Application.h                                    | C++      |          0 |          0 |          1 |          1 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Component\BaseComponent.h                        | C++      |          1 |          0 |          0 |          1 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Component\BasicInfoComponent\BasicInfo.h         | C++      |          2 |          0 |          0 |          2 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Component\CameraComponent\PerspectiveCamera.cpp  | C++      |          1 |          0 |          0 |          1 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Component\MeshFilterComponent\CubeMeshFilter.cpp | C++      |         -9 |         54 |         12 |         57 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Component\MeshRendererComponent\MeshRenderer.h   | C++      |         -2 |          6 |          1 |          5 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Component\TerrainComponent\TerrainComponent.cpp  | C++      |         51 |          0 |          6 |         57 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Component\TerrainComponent\TerrainComponent.h    | C++      |         27 |          3 |         11 |         41 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Config.h                                         | C++      |          1 |          6 |          4 |         11 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Core.h                                           | C++      |          3 |          0 |          0 |          3 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\LayerScene\Layer.cpp                             | C++      |         79 |         -9 |        -19 |         51 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\LayerScene\Layer.h                               | C++      |          6 |          0 |          0 |          6 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\MainCamera\MainCamera.cpp                        | C++      |          6 |          0 |          1 |          7 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\MainCamera\MainCamera.h                          | C++      |          2 |          0 |          0 |          2 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Node\BatchNode.cpp                               | C++      |         30 |          6 |         10 |         46 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Node\BatchNode.h                                 | C++      |          9 |          1 |          2 |         12 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Node\SingleNode.cpp                              | C++      |         23 |          0 |          2 |         25 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Node\SingleNode.h                                | C++      |         10 |          0 |          0 |         10 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\ObjectCreater\ObjectCreater.cpp                  | C++      |         28 |          0 |         10 |         38 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\ObjectCreater\ObjectCreater.h                    | C++      |          1 |          0 |          2 |          3 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\ObjectManager\ObjectManager.cpp                  | C++      |        220 |          4 |         28 |        252 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\ObjectManager\ObjectManager.h                    | C++      |          3 |          0 |         -1 |          2 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\RHI\D3D12RHI\D3D12ModelLoader.cpp                | C++      |         -1 |          0 |          0 |         -1 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\RHI\D3D12RHI\D3D12ModelLoader.h                  | C++      |          1 |          0 |          0 |          1 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\Batch\Batch.cpp                         | C++      |         54 |         11 |         11 |         76 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\Batch\Batch.h                           | C++      |         30 |          2 |         10 |         42 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\Buffer\Buffer.cpp                       | C++      |         26 |          4 |          7 |         37 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\Buffer\Buffer.h                         | C++      |         20 |          0 |          7 |         27 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\MasterRenderer\BasicRenderer.cpp        | C++      |         43 |         18 |         15 |         76 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\MasterRenderer\BasicRenderer.h          | C++      |          4 |          0 |          1 |          5 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\MasterRenderer\BatchRenderer.cpp        | C++      |         16 |          0 |          5 |         21 |
| d:\AA_LEARN_CODING\LearnOpenGL\BlackPearl-Rendering-Engine\BlackPearl\src\BlackPearl\Renderer\MasterRenderer\BatchRenderer.h          | C++      |         13 |          2 |         10 |         25 |
